NU_ANO;CO_CURSO;DS_VT_ACE_OFG;DS_VT_ACE_OCE;NT_FG_D1_CT;NT_FG_D2_CT;NT_CE_D1;NT_CE_D2;NT_CE_D3
2022;13090;01110111;190091010900109011110110009;62.5;62.5;0;63.3;0
2022;13090;00111111;191090001900119000011101009;100;75;50;20;20
2022;13090;10011111;191091000900109001001111019;62.5;50;30;53.3;20
2022;13090;11111111;190091000900119110001010019;50;75;40;20;0
2022;13090;01111010;091191100911109000101101019;0;75;40;30;0
2022;13090;11111111;190091000910119001100110019;12.5;50;10;50;0
2022;13090;01110111;191191010911019000010010009;87.5;75;30;56.7;0
2022;13090;11111111;191191000910109011001010019;50;50;0;0;0
2022;13090;01111110;190191011900109000010111119;25;75;20;0;20
2022;13090;11111111;091191001910109111010011009;0;0;30;10;20
2022;13090;00110111;190191111910009001101100019;37.5;0;60;70;60
2022;13090;01110101;091190111900109111011100109;25;50;30;26.7;0
2022;13090;01111111;191091010911119010110110109;0;0;0;0;0
2022;13090;11111111;190191000900019001110100119;87.5;50;10;36.7;40
2022;13090;11101111;191190110910109100000010119;50;50;60;46.7;40
2022;13090;01101111;191091001900119110011010109;100;50;30;36.7;0
2022;13090;01101110;191191010901109111010011019;50;87.5;0;0;0
2022;13090;01111111;090191011910009010011111119;62.5;75;0;0;0
2022;13090;01111111;191091100901109100011110019;75;75;20;30;20
2022;13090;01111110;191191001910119110010010019;75;75;0;63.3;0
2022;13090;11110100;190191010911109001110011019;75;87.5;70;46.7;40
2022;13090;11110101;191091010911119000110110019;62.5;87.5;60;63.3;0
2022;13090;01101111;191191101900119110001110019;87.5;62.5;30;30;0
2022;13090;11110111;190091100910119111101011119;62.5;0;30;30;0
2022;13090;01110101;191191001900119111111111009;50;50;40;20;0
2022;13090;11110111;190191111911119010001110019;25;50;50;63.3;0
2022;13090;01110111;191091101910119001011110119;50;75;50;30;60
2022;13090;10111111;191091101901109010111011109;75;100;50;63.3;40
2022;13090;11101111;091191111911109000011111119;75;100;70;73.3;0
