"NU_ANO","CO_CURSO","NU_ITEM_OFG","NU_ITEM_OFG_Z","NU_ITEM_OFG_X","NU_ITEM_OFG_N","NU_ITEM_OCE","NU_ITEM_OCE_Z","NU_ITEM_OCE_X","NU_ITEM_OCE_N","DS_VT_GAB_OFG_FIN","DS_VT_GAB_OCE_FIN","DS_VT_ESC_OFG","DS_VT_ACE_OFG","DS_VT_ESC_OCE","DS_VT_ACE_OCE","TP_PRES","TP_PR_GER","TP_PR_OB_FG","TP_PR_DI_FG","TP_PR_OB_CE","TP_PR_DI_CE","TP_SFG_D1","TP_SFG_D2","TP_SCE_D1","TP_SCE_D2","TP_SCE_D3","NT_GER","NT_FG","NT_OBJ_FG","NT_DIS_FG","NT_FG_D1","NT_FG_D1_PT","NT_FG_D1_CT","NT_FG_D2","NT_FG_D2_PT","NT_FG_D2_CT","NT_CE","NT_OBJ_CE","NT_DIS_CE","NT_CE_D1","NT_CE_D2","NT_CE_D3","CO_RS_I1","CO_RS_I2","CO_RS_I3","CO_RS_I4","CO_RS_I5","CO_RS_I6","CO_RS_I7","CO_RS_I8","CO_RS_I9"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EDACCECE","01110100","CCAABEDEAADABAEAEDCAECEADAE","101091111019109900009019100",555,555,555,555,555,555,555,555,555,555,555,"50.2","53.3",50,"58.3",51,55,50,"65.5","77.5","62.5","49.2","47.6","58.3",50,50,75,"D","C","B","E","E","D","A","D","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDAEDEEC","01101101","CCABBBADACBDDBCAAADCABECABD","101190001109009901009019011",555,555,555,555,555,555,555,555,555,555,555,"51.6","71.1","62.5",84,80,100,75,88,90,"87.5","45.1","42.9","57.8","73.3",25,75,"E","A","C","B","D","D","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DEAEEBCC","00100001","DAADCEDBCCDDEBCCCADEAEEBDBD","011091100119009911009119111",555,555,555,555,555,555,555,555,555,555,555,53,"43.2",25,"70.5",80,100,75,61,55,"62.5","56.3","61.9","24.4","73.3",0,0,"C","C","B","B","D","C","A","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDACDECC",11111101,"CADBACDECABDECCCEABCEADDDBD","110190110009019901109009111",555,555,555,555,555,555,555,555,555,555,555,"53.5","65.6","87.5","32.8","65.5","77.5","62.5",0,0,0,"49.5","52.4","33.3",0,50,50,"D","C","C","D","D","C","C","D","C"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEBEDC",11100111,"CCABCBDEBABABEEACAEBEDEADBE","101190110009109911019019110",555,555,555,555,555,555,555,555,555,555,555,"58.4","69.4",75,61,53,65,50,69,45,75,"54.7","57.1","41.1","73.3",50,0,"B","C","B","E","E","C","A","D","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEADCC",11100001,"CEABADDDACDCBCCACABBEDDADAE","101190101119119911119009100",555,555,555,555,555,555,555,555,555,555,333,"59.2","59.3",50,"73.3",71,55,75,"75.5","77.5",75,"59.2","66.7","16.7",0,50,0,"E","A","A","B","D","C","A","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDACEECC","01110101","CEDBAEDDACDADAECCAEBADEADCE","100191101119009911019019100",555,555,555,555,555,555,555,555,555,555,555,"59.3","72.8","62.5","88.3",83,65,"87.5","93.5","67.5",100,"54.8","57.1","41.7",0,75,50,"C","A","C","B","D","E","B","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEDEDC",11101111,"CDDDADCEADBEBABACBBBAEEDDBD","100090011009109910119119111",555,555,555,555,555,555,555,555,555,555,555,"59.4","77.2","87.5","61.8",60,100,50,"63.5","67.5","62.5","53.5","57.1","33.3",0,50,50,"C","C","C","B","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EDACDBCA","01111000","CADAAEDEACADBBCCCABCEEDDDBE","110091111109109911109109110",555,555,555,555,555,555,555,555,555,555,555,"59.5","60.2",50,"75.5",70,100,"62.5",81,55,"87.5","59.2","66.7","16.7",0,25,25,"C","C","B","E","D","B","A","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDAEBEDE","01100110","DEACBEDDACDDDCCDEDBBECEDDBD","001091101119019900119019111",555,555,555,555,555,555,555,555,555,555,555,"59.7","62.2",50,"80.5",90,100,"87.5",71,55,75,"58.9","61.9","41.7",0,50,75,"C","B","B","A","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BBACDECC",10111101,"CAAAABDECADAACCCEACBACECDBD","111090110019019901019019111",555,555,555,555,555,555,555,555,555,555,555,60,"70.7",75,"64.3","57.5","87.5",50,71,55,75,"56.4","61.9",25,0,50,25,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDAEDEDC","01101111","CAABADDDCCDDDCDAEADBADEADAE","111190100119019901019019100",555,555,555,555,555,555,555,555,555,555,555,60,"75.7",75,"76.8","73.5","67.5",75,80,100,75,"54.7","57.1","41.1","73.3",50,0,"C","B","C","E","D","C","B","C","B"
